numpt	contig	overlap_reads	non-overlap_reads
218_cp_10	218	0	0
218_mt_9	218	31	1172
218_cp_8	218	49	5
218_cp_5	218	77	23
218_cp_7	218	31	32
219_cp_1	219	47	28
220_mt_1	220	1	3
220_mt_3	220	67	27
221_mt_1	221	79	376
221_mt_5	221	60	110
221_cp_2	221	74	547
221_cp_4	221	70	106
222_cp_8	222	4	32
222_cp_6	222	60	68
222_cp_4	222	55	72
222_cp_2	222	41	2767
222_mt_6	222	29	12
223_cp_4	223	27	1176
223_cp_2	223	93	2665
223_mt_1	223	0	2246
223_cp_6	223	82	39
224_cp_1	224	53	70
225_mt_6	225	85	15
225_cp_1	225	63	182
225_cp_3	225	5	0
225_cp_5	225	85	10
225_mt_7	225	109	248
226_mt_4	226	37	8
226_cp_1	226	62	13
226_mt_5	226	74	37
227_cp_2	227	5	2
229_mt_1	229	0	87504
229_mt_2	229	78	174
229_cp_2	229	47	4
229_cp_1	229	80	33
230_cp_1	230	96	35
230_cp_2	230	54	27
232_cp_2	232	106	134
233_mt_3	233	23	4593
233_cp_13	233	74	8
233_cp_3	233	56	109
233_cp_4	233	74	145
233_cp_11	233	9	107
233_cp_10	233	39	21
233_cp_6	233	51	414
233_cp_2	233	56	244
234_mt_2	234	5	368
235_mt_1	235	69	6
235_cp_3	235	88	112
235_cp_4	235	53	283
235_cp_1	235	0	348
237_cp_1	237	139	5399
238_mt_1	238	53	1638
239_cp_1	239	3	0
239_mt_1	239	2	225
240_cp_2	240	51	8
240_cp_1	240	40	56
242_cp_3	242	35	13
243_mt_2	243	79	4590
243_mt_5	243	43	367
244_cp_2	244	96	71
244_cp_3	244	11	15
244_cp_7	244	40	29
244_cp_6	244	66	31
245_cp_1	245	24	19
245_cp_3	245	100	15
245_cp_2	245	76	19
245_mt_1	245	47	16
246_mt_3	246	2	588
246_mt_4	246	66	14
247_mt_1	247	44	12732
247_cp_3	247	57	132
247_cp_2	247	77	103
248_cp_1	248	73	86
248_mt_2	248	33	74
248_cp_4	248	108	37
248_cp_2	248	40	9
249_mt_2	249	25	7309
249_mt_3	249	81	27
250_cp_4	250	17	7
250_mt_1	250	76	87
250_cp_6	250	73	15
250_cp_2	250	84	40
250_cp_3	250	0	11
250_mt_4	250	41	9
252_mt_1	252	129	12
252_cp_2	252	46	13
252_mt_4	252	75	443
254_mt_1	254	16	1518
254_cp_1	254	53	111
254_cp_9	254	76	66
254_cp_3	254	7	21
255_mt_1	255	0	0
255_cp_1	255	60	22932
255_mt_3	255	80	24
255_cp_3	255	40	141
256_cp_6	256	84	22
256_cp_2	256	70	68
256_cp_4	256	104	133
258_cp_1	258	40	52
258_cp_3	258	36	27
258_cp_4	258	35	11
259_cp_2	259	117	143
259_cp_1	259	0	273443
259_cp_5	259	0	5274
259_mt_2	259	79	61
259_mt_3	259	66	62
259_mt_4	259	57	45
259_mt_5	259	2	0
259_cp_4	259	43	47
260_cp_1	260	68	176
260_cp_4	260	93	40
260_cp_2	260	78	38
261_cp_1	261	5	168115
261_cp_4	261	67	66
261_cp_2	261	100	66
262_mt_1	262	0	1489521
262_mt_74	262	0	3174
263_cp_1	263	68	51
263_cp_2	263	65	19
263_cp_3	263	7	63
264_cp_3	264	5	7
264_mt_2	264	81	62
264_cp_2	264	96	7882
265_cp_7	265	58	8
265_cp_8	265	117	20
265_cp_5	265	54	293
265_cp_2	265	104	139
265_cp_6	265	16	0
267_cp_7	267	29	15
267_cp_6	267	80	45
267_cp_4	267	98	94
267_cp_5	267	50	39
267_mt_3	267	3	3046
267_cp_2	267	41	61
268_cp_5	268	30	55
268_cp_3	268	42	44
268_cp_4	268	34	61
268_cp_2	268	8	8
268_mt_1	268	38	12
269_cp_1	269	62	13
269_mt_1	269	0	50733
270_mt_4	270	41	71391
270_mt_15	270	34	580
271_mt_1	271	23	536
271_mt_2	271	94	107
273_cp_2	273	62	459
273_cp_6	273	39	34
274_cp_1	274	61	85
274_cp_3	274	96	69
274_cp_2	274	82	56
275_cp_3	275	75	7
275_cp_1	275	59	77
277_cp_4	277	52	20
277_cp_2	277	75	170
279_cp_4	279	38	30
279_cp_1	279	53	13
279_cp_3	279	104	75
279_mt_3	279	28	196
279_mt_4	279	60	53
280_cp_2	280	63	2688
283_mt_1	283	89	64
284_cp_2	284	20	19
284_cp_1	284	0	4337
284_cp_3	284	35	9
285_cp_3	285	87	27
285_cp_1	285	4	1
287_mt_2	287	0	2360
287_mt_3	287	103	12
287_cp_1	287	113	4755
288_cp_7	288	27	15
288_cp_5	288	81	39
288_mt_3	288	0	0
288_cp_1	288	0	0
288_cp_3	288	0	2
288_cp_6	288	12	17
294_cp_2	294	77	47
294_cp_1	294	0	31
295_cp_1	295	5	0
295_cp_6	295	31	17
295_cp_4	295	41	112
295_cp_5	295	62	27
295_cp_3	295	83	62
295_mt_5	295	50	4490
296_cp_2	296	93	244
296_mt_1	296	93	21
296_cp_3	296	83	129
296_cp_6	296	18	14
296_cp_5	296	36	124
297_mt_1	297	0	343
297_mt_2	297	0	414
298_cp_15	298	1	9
298_cp_6	298	26	102
298_cp_17	298	2	4
298_cp_14	298	1	1
298_cp_2	298	0	1
298_cp_4	298	90	203
299_mt_1	299	2	0
299_mt_2	299	72	133
300_cp_1	300	72	41
300_mt_2	300	86	20
303_cp_2	303	7	6
303_cp_3	303	111	8
303_mt_2	303	63	59
304_mt_1	304	69	685
304_mt_3	304	41	321
304_mt_6	304	43	1101
304_cp_1	304	83	34
304_cp_2	304	31	22
305_cp_2	305	209	83
305_cp_1	305	1	2
305_mt_3	305	9	1785
306_cp_1	306	12	139
307_mt_1	307	87	9
308_mt_2	308	89	11
308_mt_3	308	41	1925
309_cp_1	309	0	3243055
309_cp_6	309	0	238244
309_cp_9	309	0	67277
309_cp_10	309	52	5815
310_cp_1	310	33	21
311_cp_2	311	74	23
311_cp_1	311	94	76
312_mt_1	312	74	770
314_mt_1	314	4	1263
314_mt_2	314	4	522
315_mt_1	315	52	65
315_cp_2	315	71	21
315_cp_5	315	43	169
316_cp_1	316	22	8
318_mt_1	318	155	66
321_cp_4	321	54	10
321_cp_2	321	92	27
321_cp_3	321	45	18
322_cp_3	322	8	4
322_cp_2	322	98	64
322_mt_1	322	1	0
322_cp_1	322	0	125
323_cp_9	323	6	2
323_cp_13	323	1	0
323_cp_11	323	83	10
323_cp_6	323	76	29
323_cp_2	323	0	259965
323_cp_7	323	0	1090
323_cp_5	323	110	15578
323_cp_4	323	138	81321
323_cp_1	323	0	498091
323_cp_3	323	62	114
324_mt_1	324	50	30
324_mt_2	324	6	1778
324_mt_3	324	7	314
325_cp_1	325	25	31
326_mt_1	326	32	755
326_cp_2	326	0	18283
328_cp_1	328	96	215
328_mt_1	328	28	990
328_mt_2	328	149	295
328_mt_4	328	84	38015
330_cp_1	330	87	45
330_cp_2	330	61	13
331_cp_1	331	43	121
332_cp_1	332	64	202
332_mt_1	332	59	4
332_mt_4	332	18	33
335_mt_5	335	103	159
338_mt_1	338	96	93
340_cp_4	340	74	39
340_cp_1	340	18	104
340_mt_1	340	0	11876
341_cp_2	341	63	40
341_cp_3	341	81	28
345_cp_2	345	48	96
346_cp_2	346	48	10
347_mt_1	347	150	94
347_cp_2	347	147	433
348_cp_1	348	62	22
349_cp_1	349	42	121
349_cp_2	349	55	6
350_mt_1	350	14	199
350_cp_2	350	34	8
351_cp_2	351	0	0
352_cp_1	352	4	16
352_cp_4	352	0	5198
352_mt_1	352	78	122
352_mt_3	352	87	234
352_mt_6	352	92	53
352_mt_8	352	60	44
353_mt_1	353	92	69
354_mt_1	354	12	0
355_cp_2	355	24	20
357_mt_1	357	0	7455
357_cp_1	357	61	1127
359_cp_2	359	171	31
359_mt_1	359	71	26
359_cp_1	359	49	118
359_mt_4	359	9	5328
360_mt_1	360	15	148
361_mt_1	361	0	7040
361_mt_2	361	0	2849494
365_mt_2	365	9	510
365_mt_3	365	0	6463
367_mt_2	367	86	148
369_mt_1	369	0	821
369_mt_2	369	70	8
370_cp_3	370	0	4754
370_mt_1	370	9	32834
372_cp_2	372	54	189
372_cp_5	372	32	3
372_cp_3	372	100	98
372_cp_1	372	102	779
373_cp_3	373	0	51
376_cp_4	376	263	676
376_cp_5	376	1	26
376_cp_1	376	42	37802
377_mt_2	377	50	1052
378_cp_1	378	63	193
379_cp_2	379	9	615
379_cp_4	379	6	3
379_cp_3	379	13	10
381_cp_1	381	16	9
383_cp_2	383	27	11
383_cp_1	383	29	16
384_cp_1	384	62	28
385_cp_1	385	5	19
385_mt_2	385	28	3485
387_mt_3	387	0	109
388_mt_1	388	22	563
389_cp_2	389	29	10
391_cp_2	391	0	12
393_cp_4	393	36	668
394_mt_1	394	0	0
396_cp_2	396	36	15450
399_cp_1	399	22	53
399_cp_4	399	31	9
401_mt_2	401	27	246
402_cp_1	402	80	28
404_cp_1	404	33	13
405_mt_1	405	54	15
405_mt_3	405	74	60
406_cp_1	406	0	3
406_cp_2	406	50	10
411_cp_1	411	0	0
412_mt_1	412	0	5526
412_cp_1	412	33	6
413_cp_6	413	28	2423268
413_cp_7	413	59	21
414_mt_1	414	0	10350
416_mt_2	416	46	8
417_cp_2	417	50	425
420_mt_1	420	94	87
420_cp_2	420	71	5742
422_cp_4	422	61	13
422_cp_2	422	44	39
422_mt_1	422	0	2172
422_cp_1	422	32	270
424_cp_1	424	111	54
425_mt_1	425	31	43
425_cp_1	425	60	39735
429_cp_1	429	0	6
431_cp_1	431	6	52
433_cp_1	433	22	8
433_cp_2	433	0	0
436_cp_1	436	0	0
442_cp_4	442	35	16
442_cp_3	442	41	11
442_cp_1	442	34	88
444_cp_1	444	3	9
445_cp_1	445	54	33
446_cp_5	446	61	37942
446_cp_16	446	0	37914
446_cp_15	446	107	267584
448_cp_1	448	18	31
451_cp_2	451	38	50
454_cp_1	454	28	21
455_mt_1	455	25	540
457_cp_2	457	121	108
461_cp_2	461	101	22
461_mt_2	461	61	62
462_cp_1	462	34	0
464_mt_1	464	66	107
464_mt_2	464	6	8576
467_mt_1	467	63	145
468_cp_2	468	35	104
470_cp_1	470	85	73
470_cp_2	470	28	28
473_mt_2	473	80	277
474_cp_3	474	0	1404
474_cp_2	474	0	4877
474_cp_1	474	0	204
476_cp_1	476	88	128
477_cp_1	477	66	38
478_cp_2	478	45	137
483_cp_1	483	301	171
485_cp_1	485	2	15
486_mt_1	486	51	49
486_cp_2	486	47	165
486_cp_1	486	42	148
492_mt_1	492	12	2810
492_mt_2	492	59	2217
493_cp_2	493	61	45
496_cp_2	496	0	0
499_mt_1	499	19	224
499_cp_2	499	131	39
506_cp_1	506	1	2
509_cp_1	509	0	110
510_cp_2	510	0	0
513_cp_1	513	28	2
520_cp_2	520	0	0
528_cp_1	528	36	123
532_cp_1	532	25	15
538_mt_1	538	0	5680
544_cp_1	544	24	93
552_mt_1	552	37	18
552_cp_2	552	47	135
560_cp_2	560	45	16
560_cp_3	560	27	19
560_cp_1	560	39	123
569_cp_1	569	0	0
569_mt_1	569	0	746
575_mt_1	575	30	2576
576_cp_1	576	28	8773
581_mt_1	581	40	15
585_cp_1	585	47	27
589_mt_2	589	8	1
592_cp_1	592	31	21
594_cp_2	594	17	56
597_cp_2	597	56	75
600_cp_2	600	111	16
602_mt_1	602	21	531
610_cp_1	610	83	81
611_cp_1	611	91	17
616_mt_2	616	0	0
619_cp_2	619	0	300
628_mt_1	628	0	0
630_mt_1	630	59	21
630_mt_3	630	68	8
641_cp_1	641	21	331
643_mt_1	643	0	11884
647_cp_1	647	8	35
657_cp_1	657	34	44
658_mt_1	658	0	367
664_mt_1	664	30	21760
664_cp_2	664	38	14
665_cp_1	665	43	201
665_cp_3	665	0	50
665_cp_2	665	61	430
667_cp_2	667	0	0
668_mt_1	668	11	2215
669_mt_1	669	0	4599
678_cp_1	678	36	279
679_cp_2	679	33	12
680_mt_1	680	95	332
681_mt_1	681	32420	446264
682_mt_1	682	38	34
684_cp_1	684	38	85
692_mt_1	692	16	92
697_cp_1	697	0	522668
702_cp_2	702	51	33
703_mt_1	703	42	1
710_cp_2	710	31	85
713_cp_3	713	50	227
718_cp_1	718	56	4
720_cp_1	720	34	32
727_mt_1	727	0	0
734_cp_1	734	50	58
735_cp_1	735	10	4279
740_cp_12	740	111	25
740_cp_2	740	0	520100
740_cp_5	740	0	160363
740_mt_3	740	0	74754
740_cp_10	740	0	86053
740_cp_1	740	0	623354
740_cp_8	740	22	1651
743_cp_2	743	47	19
746_mt_1	746	0	0
748_mt_1	748	0	634229
750_cp_1	750	0	0
753_cp_1	753	6	2
755_cp_3	755	53	69
768_cp_1	768	36	19
772_mt_1	772	62	5
774_cp_2	774	57	68
807_cp_1	807	48	22
822_cp_1	822	1	1
839_cp_2	839	0	0
859_mt_1	859	60	73
895_cp_1	895	0	26
910_mt_1	910	0	1616
919_mt_1	919	2	0
961_cp_2	961	84	127
1017_cp_1	1017	80	21
1024_cp_1	1024	2	2
1071_cp_1	1071	0	37
1076_cp_1	1076	35	5
1119_cp_2	1119	37	1
1148_mt_1	1148	0	0
1165_cp_1	1165	2	1
