numpt	contig	overlap_reads	non-overlap_reads
10_mt_51	10	0	3324
10_cp_37	10	72	32
10_mt_53	10	88	18
10_cp_30	10	112	23
10_cp_14	10	0	111915
11_mt_3	11	83	35
11_mt_4	11	0	15385
11_mt_5	11	96	551
11_mt_10	11	79	22
11_cp_2	11	74	269
11_cp_1	11	79	14336
11_cp_14	11	98	27
11_mt_12	11	0	70970
11_cp_24	11	173	38
11_cp_26	11	21	5
11_cp_25	11	9	6
11_cp_27	11	78	14
11_cp_23	11	71	15
11_cp_28	11	30	17
11_cp_19	11	4	4739
11_cp_31	11	110	12
11_mt_14	11	28	37
11_mt_16	11	100	8
11_cp_22	11	59	32
11_cp_3	11	97	165
11_mt_21	11	54	282
11_mt_24	11	32	764
11_mt_25	11	15	422
11_mt_26	11	0	757
11_cp_20	11	36	24
11_mt_29	11	37	14
11_cp_15	11	65	17
11_cp_34	11	106	22
11_mt_35	11	0	51656
11_mt_36	11	3	69
11_mt_38	11	66	5
11_mt_40	11	27	72
12_cp_6	12	28	110
12_cp_21	12	82	16
12_cp_4	12	106	754
12_cp_1	12	121	289
12_cp_7	12	25	2409
12_cp_11	12	78	31
12_cp_18	12	48	16
12_mt_2	12	130	10
12_cp_15	12	62	11
12_cp_13	12	33	15
12_cp_3	12	54	233
12_mt_5	12	53	201
12_mt_6	12	83	2
12_mt_8	12	78	135
12_cp_9	12	90	87
12_cp_14	12	95	22
13_cp_14	13	82	44
13_mt_2	13	7	5810
13_mt_3	13	11	205
13_cp_15	13	104	90
13_cp_41	13	112	9
13_cp_19	13	25	8
13_cp_24	13	10	3
13_cp_4	13	59	188
13_cp_20	13	30	23
13_cp_5	13	21	122
13_cp_6	13	26	17375
13_mt_10	13	124	163
13_cp_18	13	1	64
13_mt_12	13	80	24
13_mt_13	13	0	178044
13_mt_32	13	0	1376
13_mt_33	13	61	103
13_mt_34	13	7	3697
13_cp_13	13	80	67
13_cp_23	13	13	8
13_cp_17	13	5	1
13_cp_16	13	40	19
13_cp_31	13	11	1
13_cp_25	13	34	75
14_cp_1	14	66	80
14_mt_2	14	73	129
14_cp_11	14	35	24
14_cp_9	14	103	61
14_cp_2	14	71	1169
14_mt_13	14	89	16
14_mt_14	14	70	36
15_cp_66	15	40	216
15_cp_37	15	89	36
15_mt_1	15	55	62
15_mt_3	15	45	821
15_mt_6	15	69	961
15_mt_9	15	80	89
15_cp_75	15	21	105
15_cp_28	15	84	59
15_cp_2	15	71	13119
15_cp_62	15	74	31
15_cp_65	15	24	121
15_cp_92	15	6	14
15_mt_16	15	96	113
15_mt_18	15	124	2827
15_mt_21	15	45	215
15_cp_16	15	69	118
15_mt_24	15	65	334
15_cp_12	15	98	119
15_cp_39	15	88	59
